25 Toa Payoh Lorong 8,1.33904,103.85759,2.6,,2.6,,2.6,
Downtown East,1.37669,103.956398,,"Mon-Thu (excluding PH, Eve of PH & School Holiday) $0.024 per min; Max/day: $12.50 (Valid up to 12 midnight and not applicable for multiple entries).; Mon-Thu (excluding PH, Eve of PH & School Holiday) 5pm-12am: $2.40 per entry. Max/day:$12.50; Fri: $3.40 per entry.",,"Fri-Sat (Including PH, Eve of PH & School Holiday) $0.024 per min; 5pm-12am: $3.40 per entry. Max/day: $16.",,Same as Saturday
East Coast Park E1/E2/E3 Off-Street,1.28944,103.84998,1,,1,,1,
Eastpoint Mall,1.34269,103.95255,1.2,,1.2,,1.2,
Grand Mecure Roxy Hotel,1.30339,103.90679,1.6,,1.6,,1.6,
IKEA (Tampines),1.37264,103.93384,,0700-2300: F,,0700-2300: F,,0700-2300: F
Katong Shopping Centre,1.30461,103.90093,,0700-1800: 1; 1801-0659: 2 ,,0700-1800: 1; 1801-0659: 2 ,2,
Katong Village,1.30367,103.903458,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6,,0800-1800: 2.2; 1801-0759: 6
Lifelong Learning Institute,1.31909,103.89322,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-1759: 1.8; 1800-2359: 3.21; 0000-0559: 12,,0600-2359: 3.21; 0000-0559: 12 
Paramount Hotel,1.30306,103.90321,,0800-1700: 1.8; 1701-0759: 2.5,,0800-1700: 1.8; 1701-0759: 2.5,2.5,
Parkway Parade,1.30128,103.904877,,0600-1800: 1; 1800-0159: 1.5; 0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20,,0600-1000: 0.5; 1001-1800: 1.3; 1800-0159: 2.1;  0200-0559: $20
Roxy Square,1.30339,103.906792,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5,,0700-1800: 1.2; 1700-0000: 2.5
Singapore Expo,1.33648,103.960632,3.2,,3.2,,3.2,
Singapore Post Centre,1.32276,103.898277,,0700-1700: 1.6; 1700-0000: 3; 0001-0659: 1.60,,0700-1300: 1.6; 1301-0000: 3; 0001-0659: 1.60,,0700-0000: 3; 0000-0700:  1.6
Tampines 1,1.35399,103.94425,1.07,,1.28,,1.28,
Tampines Junction,1.35312,103.94225,,0800-1700: 1;  1701-0759: 2,,0800-1400: 1;,C,
Tampines Mall,1.35282,103.944283,,0000-1759: 1.07; 1800-2359: 2.14,,0300-1759: 2.14; 1800-0259: 2.14,,0300-1759: 2.14; 1800-2359: 2.14
Tampines Plaza (Compaq Centre),1.35399,103.944252,,0800-1700: 2; 1701-0759: 2,,0800-1700: 2; 1701-0759: 2,2,
Telepark,1.35399,103.944252,,0700-2200: 1.4,,0700-2200: 1.4,,0700-2200: 1.4
White Sands Shopping Centre,1.37324,103.950188,,0700-1900: 1.2; 1901-0659: 2,,0700-1900: 1.2; 1901-0659: 2,,0700-1900: 1.2; 1901-0659: 2
Amara Hotel,1.2742,103.84403,,0800-1659: 4; 1700-0759: 3 ,,0800-1659: 4; 1700-0759: 3 ,3,
Berjaya Hotel,1.28417,103.845207,,0830-1700: 2; 1700-2200: 1; 2201-0829: F,,0830-1700: 2; 1700-2200: 1; 2201-0829: F,,0830-2200: 1; 2201-0829: F
Carlton Hotel,1.29453,103.85391,,0700-1800: 3; 1801-0659: 6 ,,0700-1800: 3; 1801-0659: 6 ,,0700-1800: 3; 1801-0659: 6 
Changi Village Hotel,1.39134,103.981552,,0800-1800: 2; 1800-0759: 5.35,,0800-1800: 2; 1800-0759: 5.35,,0800-1800: 2; 1800-0759: 5.35
Concorde Hotel,1.30103,103.84213,,0700-1800: 2.14; 1801-0659: 3.75,,0700-1800: 2.14; 1801-0659: 3.75,3.75,
Conrad Centennial Hotel,1.29438,103.85877,,0700-1800: 3.3; 1801-0659: 2.2,2.2,,2.2,
Copthorne King's Hotel,1.28829,103.83699,,0700-0000: 3; 0001-0659: 4 ,,0700-0000: 3; 0001-0659: 4 ,,0700-0000: 3; 0001-0659: 4 
Copthorne Orchid Hotel,1.3261,103.82397,,0800-1700: 1.5; 1701-0759: 3,,0800-1700: 1.5; 1701-0759: 3,,0800-1700: 1.5; 1701-0759: 3
Elizabeth Hotel,1.30615,103.83597,,0700-1700: 3; 1701-0659: 4,4,,4,
Four Seasons Hotel,1.30484,103.82895,,0500-1700: 6; 1701-0459: 6,,0500-1700: 6; 1701-0459: 6,,0500-1700: 6; 1701-0459: 6
Furama City Centre Singapore,1.2858,103.8446,,0500-1700: 1.4; 1701-0459: 3,,0500-1700: 1.4; 1701-0459: 3,3,
Furama Riverfront Singapore,1.28848,103.83663,,0700-1700: 2; 1701-0659: 6,,0700-1700: 2; 1701-0659: 6,,0700-1700: 2; 1701-0659: 6
Gallery Hotel,1.2905,103.83907,,1200-1400: 3; 1401-1800: 2; 1801-2359: 3; 0000-1159: 2,,0600-2359: 3; 0000-0159: 3 $3 for 1st hr; $0.50 for sub. � hr from 12am-1.59am for Fri-Sun/PH,2,
Goodwood Park Hotel,1.3073,103.83328,,0800-1800: 4;  1801-0759: 5,,0800-1800: 4;  1801-0759: 5,5,
Grand Copthorne Waterfront Hotel,1.29159,103.83531,,0700-1700: 3.75; 1701-0659: 4.28,,0700-1700: 3.75; 1701-0659: 4.28,4.28,
Grand Hyatt Hotel,1.3073,103.83328,,0400-1659: 3.21; 1700-0359: 5.35,,0400-1659: 3.21; 1700-0359: 5.35,5.35,
Grand Mercure Roxy Hotel,1.30339,103.906792,1.6,,1.6,,1.6,
Grand Pacific Hotel (Formerly Allson Hotel),1.3019,103.85702,,0700-1700: 1.32; 1701-0659: 3.57,,0700-1700: 1.32; 1701-0659: 3.57,3.57,
Grand Park City Hall Hotel,1.29266,103.850922,,0700-1700: 3.28; 1701-0659: 5.35,,0700-1700: 3.28; 1701-0659: 5.35,0700-1700: 3.28; 1701-0659: 5.35,
Grand Park Orchard,1.30348,103.836761,,0800-1700: 3.5; 1701-0759: 5,,0800-1700: 3.5; 1701-0759: 5,0800-1700: 3.5; 1701-0759: 5,
Hilton Hotel,1.30356,103.8348,7,,7,,7,
Holiday Inn Atrium,1.28944,103.84998,,0700-1700: 1.8; 1701-0659: 3.6,,0700-1700: 1.8; 1701-0659: 3.6,3.6,
Holiday Inn Express Singapore,1.30348,103.83676,6,,6,,6,
Holiday Inn Singapore Orchard City Centre,1.30177,103.84157,3,,3,,3,
Inter-continental Hotel,1.29708,103.85576,,0800-1700: 1.07; 1701-0759: 2.5,2.5,,2.5,
"klapsons, The Boutique Hotel",1.27408,103.8422,,0630-1830: 3; 1831 to 0629: 4,,1400-2359: 4,4,
Landmark Village Hotel (Formally Golden Landmark Hotel),1.30225,103.85817,,0800-1700: 1.9; 1701-0759: 2.14,,0800-1700: 1.9; 1701-0759: 2.14,2.14,
M Hotel,1.27462,103.84547,,0700-1800: 1.5; 1801-0659: 3,,0700-1300: 1.5; 1301-0659: 3,3,
Mandarin Orchard Singapore,1.30356,103.8348,,0700-1800: 3.5; 1801-0659: 6,,0700-1800: 3.5; 1801-0659: 6,,0700-1800: 3.5; 1801-0659: 6
Mandarin Oriental Hotel,1.29021,103.85951,,0700-1700: 2.2; 1701-0200: 2.20; 0201-0659: 1.1,,0700-0200: 2.4; 0201-0659: 2.2,,0700-0200: 2.4; 0201-0659: 2.2
Marina Bay Sands,1.28099,103.8584,,0700-1900: 6; 1901-0659: 6,,0700-1900: 6; 1901-0659: 6,,0700-1900: 6; 1901-0659: 6
Marina Mandarin Hotel,1.29303,103.860268,,0700-1700: 2.2; 1701-0159: 2.2; 0200-0659: 2.2,,0700-0159: 2.4; 0200-0659: 1.1,,0700-0159: 2.4; 0200-0659: 1.1
