FALSE,Ramada Hotel,1.3277,103.846771,6am-6pm: $1.60 per hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays,,0600-1800: 1.6; 1801-0559: 2.2,,0600-1800: 1.6; 1801-0559: 2.2,,0600-1800: 1.6; 1801-0559: 2.2,END
FALSE,Rivervale Mall,1.39051,103.907211,Daily: $1.28 for 1st hr. $0.64 for sub. 30 mins or part thereof.,-,-,-,1.28,,1.28,,1.28,,END
FALSE,Sembawang Shopping Centre,1.45048,103.829369,12am-11.59pm: $1.20 for 1st hr; $0.32 for sub. 15 mins,$1.20 for 1st hr; $0.30 for sub. 15 mins,Same as wkdays,Same as wkdays,1.2,,1.2,,1.2,,END
FALSE,Shaw Plaza,1.32607,103.848846,8am-5pm: $1.04 for 1st hr; $0.53 for sub. ½ hr,Aft 5pm: $1.55 per entry,Same as wkdays,Same as wkdays,,0800-1700: 1.04; 1701-0759: 1.55,,0800-1700: 1.04; 1701-0759: 1.55,,0800-1700: 1.04; 1701-0759: 1.55,END
FALSE,Shrewsbury Road Off-Street,1.28944,103.84998,Daily. 0700-0700: $0.50 /30 mins (Per Minute Charging),-,-,-,1,,1,,1,,END
FALSE,Square 2,1.31988,103.8456,7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,$2.20 for 1st 4hrs; $1.10 for sub. ½ hr; Aft 6pm: $2.20 per entry,,0700-1800: 1.6; 1801-0659: 2.2,,0700-1800: 1.6; 1801-0659: 2.2,,0000-1800: 2.2; 1801-2359: 2.2,END
FALSE,Sun Plaza,1.45299,103.81775,7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr,5pm-11pm: $2.20 per entry; Aft 11pm: $3.30 per entry,Same as wkdays,Same as wkdays,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3,,0700-1700: 1.2; 1700-2300: 2.2; 2301-0659: 3.3,END
FALSE,The Verge,1.30779,103.85265,7am-5pm: $1.60 per hr,5pm-12am: $2.50 per entry; Aft 12am: $1.30 per hr,Same as wkdays,7am-12am: $2.50 per entry; Aft 12am: $2 per hr,,0700-1700: 1.6; 1700-0000: 2.5; 0001-0659: 1.3,,0700-1700: 1.6; 1700-0000: 2.5; 0001-0659: 1.3,,0700-0000: 2.5; 0001-0659: 2 ,END
FALSE,Thomson Plaza,1.35517,103.831734,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr,Same as Saturday,,0700-0000: 1 ,,0700-0000: 1.2,,0700-0000: 1.2,END
FALSE,Toa Payoh HDB Hub,1.33752,103.85175,7am-6pm: $0.50 per ½ hr,6pm-1am: $1 per entry; Aft 10.30pm: $2 per entry,Same as wkdays,7am-1am: $1 per entry; Aft 10.30pm: $2 per entry,,0700-1800: 1; 1801-2230: 1; 2231-0659: 2 ,,0700-1800: 1; 1801-2230: 1; 2231-0659: 2 ,,0700-2230: 1; 2231-0659: 2,END
